This operation will clear all the current result.,Tato činnost smaže všechny aktuální výsledky.
This operation will generate reference constraints in the expression. Reference constraints are calculated values; they cannot affect the values of other parameters.,Tato operace vygeneruje referenční omezení ve výrazu. Referenční omezení jsou vypočtené hodnoty; nemohou ovlivnit hodnoty ostatních parametrů.
this pack is not for {0}.,tento balíček není pro {0}.
"This platform is not authorized by the license; running on a platform not included in PLATFORMS=""..."" list.","Tato platforma není povolená licencí; spouštění na platformě není obsaženo v seznamu PLATFOREM=""..."" ."
This plot scale already exists,Toto měřítko vykreslování již existuje
This print style table can be plotted to any type output device (unlike R14 pen settings).,Na rozdíl od nastavení per R14 lze tabulku stylu vykreslování vykreslit na libovolném zařízení.
This profile doesn't exist!,Tento profil neexistuje!
This report includes the following:,Tato zpráva obsahuje následující:
This report is saved in:,Tento přehled je uložen v:
This request is invalid. Check parameters in request.,Tento požadavek je neplatný. Zkontrolujte parametry v požadavku.
This sheet and associated drawing files cannot be renamed.\nA file with the same name already exists.\nPlease enter a different name.,Tento list a související výkresové soubory nelze přejmenovat.\nSoubor se stejným názvem již existuje.\nZadejte prosím jiný název.
This sheet and associated drawing files cannot be renamed.\nA layout with the same name already exists.\nPlease enter a different name.,Tento list a související výkresové soubory nelze přejmenovat.\nRozvržení se stejným názvem již existuje.\nZadejte prosím jiný název.
This sheet and associated drawing files cannot be renamed.\nCannot find layout.,Tento list a související výkresové soubory nelze přejmenovat.\nNelze najít rozvržení.
"This style has been used, can not be overlaid.","Tento styl byl použit, nemůže být překryt."
This table style already has a starting table defined.\n Are you sure you want to overwrite the existing starting table in this table style?,Tento styl tabulky je měl definovanou počáteční tabulku.\n Skutečně chcete potlačit existující počáteční tabulku v tomto stylu tabulky?
This tool is not yet installed on your computer.\nBefore you can use this tool you must first install it.\n\n\nDo you want to install this tool now or later?,"Tento nástroj ještě není na vašem počítači instalován.\nNež budete moci tento nástroj používat, musíte ho nejdříve nainstalovat.\n\n\nChcete tento nástroj instalovat teď nebo později?"
This tool is not yet installed on your computer.\ninstall it?\n,Tento nástroj ještě není na váš počítač nainstalován. \nInstalovat?\n
This type of widget may not have 'allow_accept' set.\n\n,Tento typ aplikace nemusí 'povolit_příjmout' sadu.\n\n
This value can't be set to %s.,Nelze nastavit %s na tuto hodnotu.
This value can't be used for this measurement unit. Please provide another value.,Nemohu použít tuto hodnotu při aktuálních jednotkách. Zadejte jinou hodnotu.
"This value is not valid.\nCustom lineweights must be larger than or equal to 0\nand less than or equal to %d mm (%0.3f"").","Tato hodnota není platná.\nUživatelské tloušťky čar musí být větší nebo rovny 0\na menší nebo rovny %d mm (%0.3f"")."
"This Version does not support Eattext!\nFor more information, please contact with ZWSOFT CO., LTD.(Guangzhou)!","Tato verze nepodporuje EATREXT!\nPro více informací prosím kontaktujte ZWSOFT CO., LTD.(Guangzhou)!"
"This version does not support Export SAT file!\nFor more information, please contact %s!",Tato verze nepodporuje Export do SAT souboru !\nPro více informací prosím kontaktujte %s!
"This Version does not support SMARTVOICE!\nFor more information, please contact with ZWSOFT CO., LTD.(Guangzhou)!","Tato verze nepodporuje SMARTVOICE!\nPro více informací kontaktujte ZWSOFT CO., LTD.(Guangzhou)!"
"This version does not support ZRX!\nFor more information, please contact %s!",Tato verze nepodporuje ZRX!\nPro více informací prosím kontaktujte %s!
This version is not supported,Tato verze není podporována
"This version of %s Syble does not support the selected cloud storage provider ""%s""","Tato verze %s Syble nepodporuje vybraného poskytovatele cloudového úložiště ""%s"""
This widget needs a 'key' attribute.\n\n,Tato aplikace vyžaduje atribut 'klávesy'.\n\n
"This widget needs both a width and height, or one of these and an aspect ratio.\n\n","Tato aplikace potřebuje i šířku i výšku, nebo jedno z nich a jejich poměr.\n\n"
This will avoid the situation where names in the new print style table do not match the names assigned to entities in the drawing.,"To zabrání situaci, kde by názvy v nové tabulce stylu vykreslování neodpovídali názvům přirazených objektům ve výkrese."
This will clear your current search.,Tím vyčistíte vaše aktuální vyhledávání.
This will undo everything. Are you sure? [Yes/No] <Yes>:,Tím se vráti vše zpět. Jste si jisti? [Ano/Ne] <Ano>:
This wizard extracts object data from drawing that can be exported to an external file,Tento průvodce umožňuje extrahovat atributy bloků do externího souboru
"This wizard provides you with the ability to configure either an existing Windows system plotter, or a new non-Windows system plotter. The configuration information will be saved in a PC5 file.","Tento průvodce vám poskytne možnost nastavit buď stávající systémovou tiskárnu Windowsu, nebo nový ne-Windows systémový plotr. Informace o konfiguraci, budou uloženy do PC5 souboru."
Three days ago,Před třema dny
Three People Sofa,Pohovka pro 3 lidi
Three People Sofa_Plan,Pohovka pro 3 lidi_Půdorys
Three weeks ago,Před třema týdny
Three-dim polygon,3D polygon
Three-dim polyline,3D křivka
Three: Above,Tři:   Nad
Three: Below,Tři:   Pod
Three: Horizontal,Tři:   Horizontálně
Three: Left,Tři:   Vlevo
Three: Right,Tři:   Vpravo
Three: Vertical,Tři:   Vertikálně
Through,Přes
Through _ Through,"Přes,P _ Through"
Through point X;Through point Y;Through point Z,Druhý bod X;Druhý bod Y;Druhý bod Z
Through Thru Erase Layer _Through Thru Erase Layer,Přes Přes Vymaž Hladina _Through Thru Erase Layer
Thumbnail association to frame %1!d!,Přidružení miniatur k rámečku %1!d!
Thumbnail Settings,Nastavení miniatury
Thumbnail Size:,Velikost miniatury:
Thursday,Čtvrtek
Tick Marks,Vertikální značky
Tiff Files (*.tif;*.tiff),Soubory Tiff (*.tif;*.tiff)
TIFF is a tag-based file format for storing and interchanging raster images.,TIFF je formát souboru založený na značkách pro ukládání a výměnu rastrových obrázků.
TIFF Private Tag,Soukromá značka TIFF
TIFF supports a diverse selection of compression strategies that are dependent on the image type to be compressed.,"TIFF podporuje rozmanitý výběr strategií komprese, které jsou závislé na typu obrázku, který má být komprimován."
TIFOUT,PIŠTIF
Tile Horizontally,Vodorovně
Tile vertically,Dlaždice vertikálně
TILEMODE cannot be set transparently.,TILEMODE nelze nastavit průhledně.
Tilt,Sklon
Tilt angle,Úhel sklonu
TIME,ČAS
Time displayed by this computer,Čas zobrazený tímto počítačem
"Time out, please try again!","Čas uplynul, zkuste znovu!"
Time service you used:,"Časová služba, kterou jste použili:"
Time stamp:,Časová známka:
Time trust,Časová důvěra
Time zone offset from GMT is > 24 hours (may imply a user is attempting to bypass an expiration date).,"Časový rozdíl od GMT zóny je > 24 hodin  (může znamenat, že uživatel se snaží obejít datum ukončení platnosti)."
Timeout (milliseconds),Timeout (milisekundy)
TINSERT,VLOŽIT
Tint,Odstín
Tip,Tip
Tip: Proxy graphics can be displayed only when drawing is saved by enabling 'PROXYGRAPHICS=1' in source application.,Tip: Proxy grafiku lze zobrazit pouze při uložení výkresu povolením 'PROXYGRAPHICS = 1' ve zdrojové aplikaci.
"Tip: You can copy your existing toolbars to ribbon panels by right-clicking a toolbar in the CUI tree and choosing ""copy to Ribbon Panels"".","Tip: Můžete kopírovat stávající toolbary na panely pásu karet klepnutím pravým tlačítkem myši na toolbar v CUI stromu a výběrem ""kopírovat na panely pásu karet""."
Title,Nadpis
Title case,PísmoNázvu
Title Text,Text nadpisu
Title text height:,Výška textu nadpisu:
Title text:,Text nadpisu:
Title:,Název:
TL,HL
TL TC TR ML MC MR BL BC BR _TL TC TR ML MC MR BL BC BR,HL HC HP SL SC SP DL DC DP _TL TC TR ML MC MR BL BC BR
"To add a new Windows system plotter, choose the Windows Add Printer application from the printers folder in the Windows Control Panel.","Chcete-li přidat nový systémový Windows plotr, zvolte Windows Přidat tiskárnu ze složky Tiskárny v Ovládacím panelu Windowsu."
"To associate this PMP file with other configuration information, or other PC5 files for the current device, use the PC5 configuration Editor.","Pro přidružení tohoto PMP souboru s dalšími informacemi konfigurace, nebo jinými PC5 soubory aktuálního zařízení, použijte PC5 konfigurační editor."
"To configure a new plotter, select one of the following:","Chcete-li nastavit nový plotr, vyberte jeden z následujících:"
"To create a new sheet, you must first specify a template (DWT) file. Click OK to browse for the template file used to create the sheet.","Chcete-li vytvořit nový list, musíte nejprve určit soubor šablony (DWT). Klepnutím na OK vyhledejte soubor šablony použitý k vytvoření listu."
"To create a new temporary override key, right-click any of the keyboard shortcut nodes in the tree view. To edit a temporary override key, select the key in the Shortcuts view in this pane, the tree view in the Available Customizations In pane, or in the Command List pane.","Pro vytvoření nové dočasně přednostní klávesy, klepněte pravým tlačítkem myši na některý z uzlů klávesových zkratek ve stromovém zobrazení. Pro úpravu dočasně přednostní klávesy, vyberte pohled klávesy klávesové zkratky v tomto podokně stromového zobrazení v podokně dostupných přizpůsobení, nebo v podokně Seznam příkazů."
"To display the Chinese characters correctly, big font or ttf file in corresponding codepage is needed.","Pro správné zobrazení Čínských znaků, je nutný big font nebo ttf soubor v odpovídající kódové stránce."
"To edit the assigned ribbon tabs, expand a contextual tab state. To add a ribbon tab, drag it from the Tabs node in the Customizations In pane to the contextual tab state.","Pro úpravu přiřazených záložek pásu karet, rozbalte stav kontextové záložky. Chcete-li přidat záložku pásu karet, přetáhněte ji z uzlu Záložky do podokna Přizpůsobení ke stavu kontextové záložky."
"To edit the contents of a workspace, drag elements in the tree view. You can also use the Customize Workspace mode workspace to select groups of content to add to workspace.","Pro úpravu obsahu pracovního prostoru, přetáhněte prvky ve stromovém zobrazení. Můžete také použít Upravit pracovní režim pracovní plochy pro výběr skupiny obsahu pro přidání do pracovního prostoru."
to few dimension,Příliš málo kót
to get response file.,pro získání souboru odpovědi.
"To import pen settings from a PCP file, browse to a PCP file or enter the name of the PCP file to use.","Chcete li načíst nastavení per ze souboru PCP, zadejte název souboru PCP, nebo stiskněte tlačítko Procházet a vyberte soubor z."
"To import plotter specific information from a previously saved PCP or PC2 file, choose Import File. Paper size, plot optimization level, network share names, and port names can be imported into the new PC5 file.","Pro import specifických informací plotru z dříve uloženého PCP nebo PC2 souboru, vyberte Import souboru. Velikost papíru, úroveň optimalizace vykreslení, sdílené síťové názvy a jména portů mohou být importovány do nového PC5 souboru."
"To improve copying efficiency, you can go to the Copy\n and Paste Settings dialog box to set the format.","Chcete-li zlepšit efektivitu kopírování, můžete přejít do dialogového\n okna Nastavení Kopírování a vkládání a nastavit formát."
"To improve copying efficiency, you can uncheck the picture or bitmap format. \n\nWhen the picture format is unchecked, you can neither paste in Office nor paste special in CAD, but you can use Ctrl+V(Pasteclip) to paste in CAD directly.","Chcete-li zlepšit efektivitu kopírování, můžete zrušit zaškrtnutí formátu obrázku nebo bitmapy. \n\nKdyž není zaškrtnutý formát obrázku, nemůžete vložit ani v Office, ani speciálně vložit v CAD, ale můžete použít Ctrl+V (Pasteclip) pro vložení přímo v CAD."
to many dimension,Příliš mnoho kót
"To name the style properties, select Named Print Style Table. To create a print style table that references each entities' %s color, select Color-Dependent Print Style Table.","Pro pojmenování vlastnosti stylu, vyberte pojmenovanou tabulku stylu vykreslování. Pro vytvoření tabulky stylu vykreslování která odkazuje barvu každého objektu' %s, vyberte barevně závislou tabulku stylu vykreslování."
To point:,Do bodu:
"To scale an object, specify a base point and a scale factor. The base point is the zooming center of the selected object, which remains unchanged when the cursor moves. A scale factor greater than 1 enlarges the object; a scale factor between 0 and 1 shrinks the object.","Chcete-li změnit velikost objektu, určete základní bod a faktor měřítka. Základní bod je střed zvětšení vybraného objektu, který zůstává beze změny, když se kurzor pohybuje.Měřítko větší než 1 zvětšuje objekt, měřítko mezi 0 a 1 zmenšuje objekt."
"To select from a list of existing network plotters, choose Browse.","Chcete-li vybrat ze seznamu stávající sítě plotry, zvolte Procházet."
"To select objects that match the filter, enter ""previous"" at the next Select Objects prompt.","Pro výběr objektů odpovídajících filtru, zadejte ""předchozí"" na příští výzvě Vybrat objekty."
"To track from an Osnap point, pause over the point while in a command. A tracking vector appears when you move the cursor. To stop tracking, pause over the point again.",Pro trasování z bodu úchopu podržte kurzor nad bodem. Směr trasování se zobrazí když pohnete kurzorem. Pro ukončení trasování znovu podržte kurzor nad bodem.
"To use a tool, click on the icon. Object selection must be performed after the tool has been selected.",Pro použití nástroje klikněte na ikonu. Výběr objektu musí být proveden až po výběru nástroje.
"To verify the accuracy of the test calibration, choose Check Calibration.","Pro ověření přesnosti testu kalibrace, zvolte Zkontrolovat kalibraci."
tO&GGLE cASE,&Změnit velikost
Today,Dnes
TODO: (C) <CompanyName>. All rights reserved,TODO: (C) <Název společnosti>. Všechna práva vyhrazena
"TODO: (C) <ZWSOFT CO., LTD.(Guangzhou)>. All rights reserved.","TODO: (C) <ZWSOFT CO., LTD.(Guangzhou)>. All rights reserved."
TODO: <CompanyName>,TODO: <CompanyName>
TODO: <File description>,TODO: <File description>
TODO: <Product name>,TODO: <Product name>
TODO: <ProductName>,TODO: <Název produktu>
"TODO: ZWSOFT CO., LTD.(Guangzhou)","TODO: ZWSOFT CO., LTD.(Guangzhou)"
Toggle _Toggle,Přepnout _Toggle
Toggle Grid,Přepnutí rastru
Toggle Isoplane,Přepnutí isoroviny
TOGgle Left Right Top 0 1 2 _TOGgle Left Right Top 0 1 2,přepnouT Levá Pravá Horní 0 1 2 _TOGgle Left Right Top 0 1 2
Toggle Orientation,Přepnout orientaci
Toggle QPMODE,Přepnout QPMODE
Toggle Snap,Přepnutí kroku
Toggle Value of PICKADD Sysvar,Přepnout hodnotu proměnné PICKADD
Toggles clean screen mode on or off: CLEANSCREENON,Přepíná vypnutí a zapnutí režimu čistit obrazovku: ČISTÁOBRAZOVKAANO
Toggles snap on or off,Přepne uchopení na Zapnuto nebo Vypnuto
Toggles the display of the user coordinates systems icon at the origin on or off,Přepíná zobrazení ikony uživatelského souřadnicového systému v počátku na Zapnuto nebo Vypnuto
Toggles the grid on or off,Přepíná mřížku na Zapnuto nebo Vypnuto
Toggles the live section state on or off for the section object: LIVESECTION,Zapíná nebo vypíná stav aktivního řezu pro objekt řezu: PŘÍMÝŘEZ
Toggles the locked state of the viewport,Přepíná uzamčený stav výřezu
Toggles the user coordinates systems icon on or off,Přepíná ikonu uživatelského souřadnicového systému na Zapnuto nebo Vypnuto
Toggles the viewport on or off,Přepíná výřez na Zapnuto nebo Vypnuto
Toggles viewport clipping on or off,Přepíná oříznutí výřezu na Zapnuto nebo Vypnuto
Toggles whether to include materials in published 3D DWF files,"Volí, zda se mají do publikovaných souborů 3D DWF zahrnout materiály"
Toggles whether to include sheet set properties and attributes in published DWF files,"Volí, zda se mají do publikovaných souborů DWF zahrnout vlastnosti sady listů a atributy"
Tol dev upper,Horní mez tolerance
Tol deviation (DIMTOL),Tolerance odchylky (DIMTOL)
Tol limit (DIMLIM),Limit tolerance (DIMLIM)
Tol limit upper (DIMTP),Horní mez tolerance (DIMTP)
Tol lower limit (DIMTM),Dolní mez tolerance (DIMTM)
Tol pos vert,Vertikální poloha tolerance
Tol position vertical (DIMTOLJ),Svislá poloha tolerance (DIMTOLJ)
Tol precision,Přesnost tolerance
Tol precision (DIMTDEC),Přesnost tolerance (DIMTDEC)
Tol text scale factor,Faktor měřítka textu tolerance
Tol text scale factor (DIMTFAC),Faktor měřítka textu tolerance (DIMTFAC)
Tol zero suppression (DIMTZIN),Potlačení nuly tolerance (DIMTZIN)
Tolerance,Tolerance
Tolerance &alignment:,&Zarovnání tolerance:
Tolerance 1,Tolerance 1
Tolerance 2,Tolerance 2
Tolerance Content,Obsah tolerance
Tolerance display,Zobrazení tolerance
Tolerance Format,Formát tolerance
Tolerance limit lower,Dolní mez tolerance
Tolerance limit upper,Horní mez tolerance
Tolerance lower limit,Dolní mez tolerance
Tolerance pos ver,Vertikální poloha tolerance
Tolerance pos vert,Vertikální poloha tolerance
Tolerance precision,Přesnost tolerance
Tolerance suppress leading zeros,Tolerance potlačí úvodní nuly
Tolerance suppress trailing zeros,Tolerance potlačí koncové nuly
Tolerance suppress zero feet,Tolerance potlačí nulové stopy
Tolerance suppress zero inches,Tolerance potlačí nulové palce
Tolerance text height,Výška textu tolerance
Tolerance upper limit,Horní mez tolerance
Tolerance Zero Suppression,Potlačení nuly tolerance
Tolerance:,Tolerance:
Tolerances,Tolerance
Tolerances:Alt tolerance precision,Tolerance:Přesnost Alt tolerance
Tolerances:Alt tolerance suppress leading zeros,Tolerance:Alt tolerance potlačí úvodní nuly
Tolerances:Alt tolerance suppress trailing zeros,Tolerance:Alt tolerance potlačí koncové nuly
Tolerances:Alt tolerance suppress zero feet,Tolerance:Alt tolerance potlačí nulové stopy
Tolerances:Alt tolerance suppress zero inches,Tolerance:Alt tolerance potlačí nulové palce
Tolerances:Tolerance alignment,Tolerance:Zarovnání tolerancí
Tolerances:Tolerance display,Tolerance:Zobrazit tolerance
Tolerances:Tolerance limit lower,Tolerance:Dolní mez tolerance
Tolerances:Tolerance limit upper,Tolerance:Horní mez tolerance
Tolerances:Tolerance pos vert,Tolerance:Vertikální poloha tolerance
Tolerances:Tolerance precision,Tolerance:Přesnost tolerance
Tolerances:Tolerance suppress leading zeros,Tolerance:Potlačení úvodních nul tolerance
Tolerances:Tolerance suppress trailing zeros,Tolerance:Potlačení koncových nul tolerance
Tolerances:Tolerance suppress zero feet,Tolerance:Tolerance potlačí nulové stopy
Tolerances:Tolerance suppress zero inches,Tolerance:Tolerance potlačí nulové palce
Tolerances:Tolerance text height,Tolerance:Výška textu tolerance
Tonnes,Tuny
Tons,Tuny
too few arguments,příliš málo argumentů
Too Large Hatch Scale,Příliš velké měřítko šrafování
too many arguments,příliš mnoho argumentů
too many dimension,Příliš mnoho kót
Too many elements,Příliš mnoho prvků
too many environment variables,příliš mnoho proměnných prostředí
"Too many files selected, you may have to wait a long time or even freeze if you continue to operate. Continue?","Je vybráno příliš mnoho souborů, možná budete muset čekat dlouhou dobu nebo dokonce zamrznout, pokud budete pokračovat v práci. Chcete pokračovat?"
Too Many Hatch Lines,Příliš mnoho šrafovacích čar
too many literals,příliš přesné
"Too many objects would be created.\nThe current array values would create approximately %d objects, exceeding the limit of %d objects","Bylo by vytvořeno příliš mnoho objektů.\nAktuální hodnoty pole by vytvořily přibližně %d objektů, přesahující limit %d objektů"
"Too many values would be created. \n\nThe values of current array dialog would create approximately %d objects, exceeding the limit of %d objects.","Bude vytvořeno příliš mnoho hodnot. \n\nHodnoty aktuálního dialogu pole by vytvořily přibližně %d objektů, které přesahují limit %d objektů."
Too much sub_folders!,Příliš mnoho podadresářů!
tool,nástroj
Tool Image,Obrázek nástroje
Tool Palette,Paleta nástrojů
Tool Palettes,Palety Nástrojů
Tool Palettes - All Palettes,Palety nástrojů – Všechny Palety
Tool Palettes File Locations,Umístění soubopů palet nástrojů
"Tool Palettes use tabs to organize, share, and place commands, blocks, and other tools. You can right-click different areas of the ""Tool Palettes"" window to select the desired shortcut item.","Palety nástrojů používají karty pro organizaci, sdílení a umísťování příkazů, bloků, a dalších nástrojů. Pravým tlačítkem myši na různé oblasti okna ""Palety nástrojů"" můžete vybrat zkratku požadované položky."
Tool Properties,Vlastnosti nástroje
Tool type,Typ nástroje
Tool\nPalettes,Palety\nNástrojů
TOOLBAR,NPANEL
Toolbar,Panel nástrojů
Toolbar - Toolbar,Panel nástrojů - Panel nástrojů
Toolbar Button,Tlačítko na panelu nástrojů
Toolbar Control Elements,Elementy ovládacího prvku toolbaru
Toolbar ID,ID Toolbaru
Toolbar Preview,Náhled toolbaru
Toolbar Theme,Panel nástrojů Motivy
Toolbars,Palety nástrojů
Toolbar{0},Panel nástrojů{0}
TOOLBOXCLOSE,TOOLBOXZAVŘÍT
Toolpalette settings,Nastavení Toolpalety
ToolPalette:,Paleta nástrojů:
TOOLPALETTES,NPALETY
Toolpalettes,Palety Nástrojů
TOOLPALETTESCLOSE,NPALETUZAVŘI
Tools,Nástroje
Tools - 3D,Nástroje - 3D
Tools - Check,Nástroje - Ověřit
Tools - Collaboration,Nástroje - Spolupráce
Tools - Customized Settings,Nástroje - Přizpůsobená nastavení
Tools - Filter,Nástroje - Filtr
Tools - Group,Nástroje - Skupina
Tools - Measure,Nástroje - Dělm
Tools - Palettes,Nástroje - Palety
Tools - Select,Nástroje - Vybrat
Tools - Style Manager,Nástroje - Správce stylu
Tools - ZWCAD Toolbox,Nástroje - ZWCAD Toolbox
Tools to maintain the drawing,Nástroje pro údržbu výkresu
Tooltip Appearance,Vzhled popisky
Tooltip Style,Styl popisku
ToolTip Title,Název ToolTipu
Top,Horní
Top _ Top,Horní _ Top
Top attachment,Horní připojení
Top attachment:,Horní připojení
Top Border,Horní rámeček
Top Bottom Front BAck Left Right _Top Bottom Front BAck Left Right,Horní Dolní Přední Zadní Levý PRavý _Top Bottom Front BAck Left Right
Top Bottom Left Right Front BAck SW SE NE NW Drawing _Top Bottom Left Right Front BAck SW SE NE NW Drawing,Horní Dolní Levý pRavý Přední Zadní JZ JV SV SZ vÝkresu _Top Bottom Left Right Front BAck SW SE NE NW Drawing
Top center,Horní centr
Top Center Alignment,Horní Centr zarovnání
Top extension,Horní vynášecí čára
Top extension:,Horní vynášecí čára:
Top left,Horní levý
Top Left Alignment,Horní Levé zarovnání
Top left;Top center;Top right;Middle left;Middle center;Middle right;Bottom left;Bottom center;Bottom right,Horní levý;Horní centr;Horní pravý;Střední levý;Střední centr;Střední pravý;Dolní levý;Dolní centr;Dolní pravý
Top major radius,Horní hlavní poloměr
Top minor radius,Horní vedlejší poloměr
Top of top line,Vrchol horního řádku
Top of top line;Middle of top line;Bottom of top line;Underline top line;Middle of text;Middle of bottom line;Bottom of bottom line;Underline bottom line;Underline all text,Vrchol horního řádku;Střed horního řádku;Spodek horního řádku;Podtrhnout horní řádek;Střed textu;Střed spodního řádku;Spodek spodního řádku;Podtrhnout spodní řádek;Podtrhnout celý text
Top plane,Horní rovina
Top radius,Horní poloměr
Top radius:,Horní poloměr:
Top right,Horní pravý
Top Right Alignment,Horní Pravé zarovnání
Top space:,Horní prostor:
Top to bottom,Shora dolů
Top Window,Horní okno
Top Zero Bottom _Top Zero Bottom,Horní Střed Dolní _Top Zero Bottom
Top-Bottom,Horní-Dolní
Top-Bottom with split line,Vrchní-Dolní s dělenou čárou
Top:,Horní:
Top;Zero;Bottom,Horní;Nula;Dolní
Top\nMid\nDown,Horní\nStř\nDolní
TopCenter \t\tTC,HorníCentr \t\tHC
TopLeft \t\tTL,HorníLevý \t\tHL
Topographic map,Topografická mapa
TopRight \t\tTR,HorníPravý \t\tHP
Torus,Anuloid
Torus Mesh,Anuloidová síť
Torus radius,Poloměr anuloidu
Total,Celkový
Total _Total,Celkový _Total
Total angle,Celkový úhel
Total area,Celková plocha
Total Area of Selected Objects,Celková plocha vybraných objektů
Total area:,Celková plocha:
Total Boundaries,Celkové hranice
Total Column Distance,Celková vzdálenost sloupců
Total Column Spacing,Celková rozteč sloupců
Total Distance of Selected Arcs,Celková délka vybraných oblouků
Total Distance of Selected Lines,Celková délka vybraných úseček
Total find: {0},Total find: {0}
Total Item Distance,Celková vzdálenost položek
Total Item Spacing,Celková rozteč položek
Total layers,Všechny hladiny
Total length,Celková délka
Total length:,Celková délka:
Total Level Distance,Celková vzdálenost úrovní
Total Level Spacing,Celková rozteč úrovní
total loss of significance,úplná ztráta významnosti
Total number of &items:,&Bylo vybráno objektů:
Total Number of Change Sets,Celkový počet nastavených změn
Total number of items & Angle between items,Celkový počet položek & úhel mezi položkama
Total number of items & Angle to fill,Celkový počet položek & úhel vyplnění
Total number of proxies:  %d,Celkový počet proxy:  %d
Total number of xrefs: %d,Celkový počet externích referencí: %d
Total Perimeter,Celkový obvod
Total Points,Celkové body
Total points:,Celkové body:
Total Regions,Celkové Regiony
Total Row and Column Spacing,Celková rozteč řádků a sloupců
Total Row Distance,Celková vzdálenost řádků
Total Row Spacing,Celková rozteč řádků
Total Scans,Celkový počet skenů
Total sheets:,Celkem listů:
Total time for editing:,Celková doba úprav:
Total:,Celkový:
Total: %d,Celkový: %d
Towards cutting plane,Směrem k rovině řezu
TR,HP
Trace,Stopa
Track orthogona&lly only,&Trasovat jenom ortoglnálně
Track Point,Bod trasování
Track using all polar angle &settings,Tras&ovat s použitím všech nastavených uhlů
Tracking,Trasování
Tracking Factor,Faktor trasování
Tracking factor:,Faktor trasování:
Traditional Chinese,Tradiční Čínština
Transfer,Přenést
Transfers objects from the host drawing to the REFEDIT working set:  REFSET,Presune objekty z výkresu do pracovní množiny REFEDIT:  REFSADA
Transfers objects from the host drawing to the REFEDIT working set: REFSET,Přesune objekty z výkresu do pracovní sady REFEDIT.:  REFSADA
Transfers objects from the REFEDIT working set to the host drawing:  REFSET,Vyjme objekty z pracovní množiny REFEDITT a přesune je do výkresu:  REFSADA
Transfers objects from the REFEDIT working set to the host drawing: REFSET,Přesune objekty z pracovní sady REFEDIT do výkresu.:  REFSADA
Transform,Transformace
Transform Gizmo,Gizmo Tranformace
"Transform gizmo includes move, scale, and rotation functions.You can perform corresponding function operations when activating different gizmo areas.","Gizmo Tranformace zahrnuje funkce posunu, měřítka a otočení. Při aktivaci různých oblastí Gizmo můžete provádět operace odpovídajících funkcí."
Transform to Iteration Panel,Transformace do iteračního panelu
Transform to Sub Panel,Přemístit do podsložky
Transform\rGizmo,Gizmo\rTranformace
Transformer,Transformátor
Translate &From,&Převést z
Translate T&o,P&řevést do
Translates the layers in the current drawing to match the layer structures of other drawings or CAD standard files. You can also use Layer Translator to control the visibility of layers in the drawing area and remove all unreferenced layers from a drawing.,"Překládá hladiny v aktuálním výkresu, aby odpovídaly strukturám hladin jiných výkresů nebo standardních CAD souborů. Můžete také použít Překladač hladin pro ovládání viditelnost hladin v kreslicí oblasti a odstranit všechny neodkazované hladiny z výkresu."
Translates the layers in the current drawing to specified layer standards:  LAYTRANS,Umožňuje přeložení hladin v aktuálním výkresu na zadané normy hladiny:  PŘEVEĎHLADINU
Translucent,Průsvitný
Transmittal - Set Password,Přenos - Nastavit heslo
Transmittal File Fo&lder:,&Adresář souboru přenosu:
Transmittal File N&ame:,&Název souboru přenosu:
Transmittal Options,Volby přenosu
Transmittal Package Creation is in Progress,Probíhá vytváření balíčku přenosu
Transmittal Report:\n\n,Zpráva přenosu:\n\n
Transmittal Set&up Description:,P&opis nastavení přenosu:
Transmittal Setups,Nastavení přenosu
Transmittal Type and Location,Typ přenosu a umístění
Transparency,Průhlednost
Transparency Level,Úroveň průhlednosti
Transparency Method,Metoda průhlednosti
Transparency Method Drop-down,Rozbalovací nabídka Metoda průhlednosti
Transparency Settings,Nastavení průhlednosti
Transparency Value,Hodnota průhlednosti
Transparency value (0-90):,Hodnota průhlednosti (0-90):
Transparency:,Průhlednost:
Transparent,Průhledný
Tree View (F4),Stromový pohled (F4)
Tree View [F4],Stromový pohled [F4]
Trial,Zkušební
Trial Edition,Zkušební verze
Trial version (Limited),Zkušební verze (Omezeno)
Trial version (Remained %d Days),Zkušební verze (Zbývající dny %d)
"Trial version does not support %s!\nPlease make sure that you have been authorized and registered correctly.\nFor more information, please contact %s!\nContact email: sales@zwsoft.com","Zkušební verze nepodporuje %s!\nProsím ujistěte se, že máte oprávnění a jste správně zaregistrovaní.\nPro více informací prosím kontaktujte %s!\nKontaktní e-mail: sales@zwsoft.com"
"Trial version does not support Export!\nPlease make sure that you have been authorized and registered correctly.\nFor more information, please contact %s!\nContact email: sales@zwsoft.com","Zkušební verze nepodporuje Export!\nUjistěte se prosím, zda jste korektně provedli aktivaci a registraci.\nPro více informací prosím kontaktujte %s!\nKontaktní e-mail: sales@zwsoft.com"
"Trial version does not support Plot!\nPlease make sure that you have been authorized and registered correctly.\nFor more information, please contact %s!\nContact email: sales@zwsoft.com","Zkušební verze nepodporuje vykreslování!\nUjistěte se prosím, zda jste korektně provedli aktivaci a registraci.\nPro více informací prosím kontaktujte %s!\nKontaktní e-mail: sales@zwsoft.com"
